ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
SUBSIDY,MASC998397,1-1M0CLFDJ,4/21/2014,0
New Install,MASC995196,1-1M0ZWA5W,4/21/2014,60
SUBSIDY,MASC995196,1-1M0ZWA5W,4/21/2014,0
Service,MASC995214,1-1LX9NHOX,4/21/2014,37
Service,MASC995064,1-1KB8VAQU,4/21/2014,-37
Former Install,MASC997093,1-1M0FA2AQ,4/21/2014,60
SUBSIDY,MASC997093,1-1M0FA2AQ,4/21/2014,0
SUBSIDY,MASC995214,1-1LX9NHOX,4/21/2014,0
Service,MASC907665,1-1LXUJ7MA,4/21/2014,37
SUBSIDY,MASC907665,1-1LXUJ7MA,4/21/2014,0
Upgrade,MASC913802,1-1LW8UJA6,4/21/2014,25
SUBSIDY,MASC913802,1-1LW8UJA6,4/21/2014,0
Former Install,MASC995196,1-1LYZVNC9,4/21/2014,60
SUBSIDY,MASC995196,1-1LYZVNC9,4/21/2014,0
Upgrade,MASC913802,1-1LZ4389E,4/21/2014,25
SUBSIDY,MASC913802,1-1LZ4389E,4/21/2014,0
Upgrade,MASC995214,1-1LZTYFF3,4/21/2014,25
SUBSIDY,MASC995214,1-1LZTYFF3,4/21/2014,0
Upgrade,MASC998397,1-1M0DG569,4/21/2014,25
SUBSIDY,MASC998397,1-1M0DG569,4/21/2014,0
SUBSIDY,MASC907665,1-1LYE8MV6,4/21/2014,0
Upgrade,MASC995440,1-1M0B33V3,4/21/2014,25
SUBSIDY,MASC995440,1-1M0B33V3,4/21/2014,0
New Install,MASC907665,1-1LYE8MV6,4/21/2014,60
Former Install,MASC995064,1-1LY5NRA0,4/21/2014,60
SUBSIDY,MASC995064,1-1LY5NRA0,4/21/2014,0
Service,MASC995144,1-1JUUTKSL,4/21/2014,-37
Former Install,MASC995569,1-1LHDNJSJ,4/21/2014,60
New Install,MASC995144,1-1LVK1XQ8,4/21/2014,60
SUBSIDY,MASC995144,1-1LVK1XQ8,4/21/2014,0
New Install,MASC907665,1-1M05J96O,4/21/2014,60
SUBSIDY,MASC907665,1-1M05J96O,4/21/2014,0
Service,MASC995439,1-1KYK5RND,4/21/2014,-37
SUBSIDY,MASC995569,1-1LHDNJSJ,4/21/2014,0
ODU UPGRADE,MASC911659,1-1LK1I5AK,4/23/2014,22
SWM ODU HARDWARE,MASC911659,1-1LK1I5AK,4/23/2014,0
KA/KU LNB SWM LABOR,MASC911659,1-1LK1I5AK,4/23/2014,8
Swap Replace,MASC911659,1-1LK1I5AK,4/23/2014,5
Swap Replace,MASC911659,1-1LK1I5AK,4/23/2014,5
MULTI-SWITCH SWM 16,MASC997093,1-1M2V6585,4/23/2014,0
RECEIVER DECA,MASC997093,1-1M2V6585,4/23/2014,0
MRV ENABLED,MASC997093,1-1M2V6585,4/23/2014,0
KA/KU LNB SWM LABOR,MASC907665,1-1LXYO8DQ,4/23/2014,8
IRD - CLIENT,MASC907665,1-1LXYO8DQ,4/23/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC907665,1-1LXYO8DQ,4/23/2014,19
Swap Replace,MASC998397,1-1M2XA0OA,4/23/2014,5
NON DIRECTV EQUIPMENT,MASC911659,1-1LK1I5AK,4/23/2014,22
"""ODU - 36""""""",MASC911659,1-1M209NGS,4/23/2014,0
KA/KU LNB 3,MASC911659,1-1M209NGS,4/23/2014,0
ADDITIONAL LABOR,MASC911659,1-1M209NGS,4/23/2014,22
IRD - CLIENT,MASC911659,1-1M209NGS,4/23/2014,15.25
IRD - CLIENT,MASC911659,1-1M209NGS,4/23/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC911659,1-1M209NGS,4/23/2014,19
ODU HARDWARE,MASC911659,1-1M209NGS,4/23/2014,0
KA/KU LNB LABOR,MASC911659,1-1M209NGS,4/23/2014,17
MULTI-SWITCH SWM 8,MASC911659,1-1M209NGS,4/23/2014,0
Swap Replace,MASC998397,1-1M2XA0OA,4/23/2014,5
Swap Replace,MASC998397,1-1M2XA0OA,4/23/2014,5
Swap Relocate,MASC998397,1-1M2XA0OA,4/23/2014,5
IRD - HD/DVR COMBO,MASC998397,1-1M2XA0OA,4/23/2014,19
ODU UPGRADE,MASC998397,1-1M2XA0OA,4/23/2014,22
KA/KU LNB SWM 3,MASC998237,1-1M2EPQ0W,4/23/2014,0
SWM ODU HARDWARE,MASC998237,1-1M2EPQ0W,4/23/2014,0
KA/KU LNB 3,MASC911659,1-1M09B1TT,4/23/2014,0
IRD - CLIENT,MASC911659,1-1M09B1TT,4/23/2014,15.25
IRD - HD/DVR COMBO,MASC911659,1-1M09B1TT,4/23/2014,19
IRD - HD/DVR COMBO,MASC911659,1-1M09B1TT,4/23/2014,19
IRD - KA/KU,MASC911659,1-1M09B1TT,4/23/2014,19
IRD - KA/KU,MASC911659,1-1M09B1TT,4/23/2014,19
IRD - ADVANCED WHOLE-HOME DVR,MASC911659,1-1M09B1TT,4/23/2014,19
ODU HARDWARE,MASC911659,1-1M09B1TT,4/23/2014,0
KA/KU LNB LABOR,MASC911659,1-1M09B1TT,4/23/2014,17
KA/KU LNB SWM LABOR,MASC998237,1-1M2EPQ0W,4/23/2014,8
IRD - CLIENT,MASC998237,1-1M2EPQ0W,4/23/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC998237,1-1M2EPQ0W,4/23/2014,19
"""ODU - 18""""""",MASC906491,1-1M2A0FAX,4/23/2014,0
IRD - STANDARD,MASC906491,1-1M2A0FAX,4/23/2014,19
