ITEM,TECH NUMBER,ACTIVITY CSG NUMBER,ACTIVITY CLOSED DATE,LINE AMOUNT
IRD - STANDARD,MASC999035,1-1LYEGZY8,4/23/2014,19
KA/KU LNB SWM 3,MASC999035,1-1LYEGZY8,4/23/2014,0
KA/KU LNB SWM LABOR,MASC995064,1-1LZGPW33,4/23/2014,8
MRV ENABLED,MASC995064,1-1LZGPW33,4/23/2014,0
KA/KU LNB 3,MASC997093,1-1M2V6585,4/23/2014,0
ODU HARDWARE,MASC997093,1-1M2V6585,4/23/2014,0
IRD - ADVANCED WHOLE-HOME DVR,MASC997093,1-1M2V6585,4/23/2014,19
IRD - HD/DVR COMBO,MASC997093,1-1M2V6585,4/23/2014,19
IRD - HD/DVR COMBO,MASC997093,1-1M2V6585,4/23/2014,19
IRD - KA/KU,MASC997093,1-1M2V6585,4/23/2014,19
KA/KU LNB LABOR,MASC997093,1-1M2V6585,4/23/2014,17
KA/KU LNB SWM LABOR,MASC995440,1-1LZ84USA,4/23/2014,8
IRD - HD/DVR COMBO,MASC995440,1-1LZ84USA,4/23/2014,19
IRD - KA/KU,MASC995440,1-1LZ84USA,4/23/2014,19
IRD - KA/KU,MASC995440,1-1LZ84USA,4/23/2014,19
RECEIVER DECA,MASC995440,1-1LZ84USA,4/23/2014,0
MRV ENABLED,MASC995440,1-1LZ84USA,4/23/2014,0
KA/KU LNB SWM 3,MASC907665,1-1LXYO8DQ,4/23/2014,0
SWM ODU HARDWARE,MASC907665,1-1LXYO8DQ,4/23/2014,0
Swap Replace,MASC911659,1-1LK1I5AK,4/23/2014,5
KA/KU LNB SWM 3,MASC911659,1-1LK1I5AK,4/23/2014,0
IRD - KA/KU,MASC914117,1-1M3OMDZA,4/25/2014,19
MRV ENABLED,MASC914117,1-1M3OMDZA,4/25/2014,0
KA/KU LNB 3,MASC995439,1-1M4QL3ZL,4/25/2014,0
ODU UPGRADE,MASC995439,1-1M4QL3ZL,4/25/2014,22
Swap Replace,MASC995439,1-1M4QL3ZL,4/25/2014,5
MULTI-SWITCH SWM 16,MASC995439,1-1M4QL3ZL,4/25/2014,0
"""ODU - 18""""""",MASC999035,1-1M4YMJS4,4/25/2014,0
IRD - STANDARD,MASC999035,1-1M4YMJS4,4/25/2014,19
INTERNAL DECA-T1,MASC995439,1-1M4QL3ZL,4/25/2014,4
MRV ENABLED,MASC995439,1-1M4QL3ZL,4/25/2014,0
KA/KU LNB SWM 3,MASC910284,1-1M3WMQ06,4/25/2014,0
SWM ODU HARDWARE,MASC910284,1-1M3WMQ06,4/25/2014,0
KA/KU LNB SWM LABOR,MASC910284,1-1M3WMQ06,4/25/2014,8
IRD - CLIENT,MASC910284,1-1M3WMQ06,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC910284,1-1M3WMQ06,4/25/2014,19
IRD - CLIENT,MASC997565,1-1M4TDX7J,4/25/2014,15.25
KA/KU LNB SWM 3,MASC997565,1-1M4TDX7J,4/25/2014,0
SWM ODU HARDWARE,MASC997565,1-1M4TDX7J,4/25/2014,0
IRD - STANDARD,MASC999035,1-1M4YMJS4,4/25/2014,19
MULTI-SWITCH KA 6X8,MASC999035,1-1M4YMJS4,4/25/2014,0
MULTI-SWITCH KA 6X8,MASC999035,1-1M4YMJS4,4/25/2014,0
IRD - KA/KU,MASC995214,1-1M1Z21WC,4/25/2014,19
IRD - KA/KU,MASC995214,1-1M1Z21WC,4/25/2014,19
KA/KU LNB SWM 3,MASC995214,1-1M1Z21WC,4/25/2014,0
SWM ODU HARDWARE,MASC995214,1-1M1Z21WC,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995214,1-1M1Z21WC,4/25/2014,8
KA/KU LNB SWM LABOR,MASC997565,1-1M4TDX7J,4/25/2014,8
IRD - CLIENT,MASC997565,1-1M4TDX7J,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC997565,1-1M4TDX7J,4/25/2014,19
IRD - CLIENT,MASC997565,1-1M4TDX7J,4/25/2014,15.25
MRV ENABLED,MASC995214,1-1M1Z21WC,4/25/2014,0
System Swap,MASC914117,1-1M3JMIZ7,4/25/2014,5
System Swap,MASC914117,1-1M3JMIZ7,4/25/2014,5
KA/KU LNB 3,MASC914117,1-1M3JMIZ7,4/25/2014,0
ODU UPGRADE,MASC914117,1-1M3JMIZ7,4/25/2014,22
ODU HARDWARE,MASC914117,1-1M3JMIZ7,4/25/2014,0
KA/KU LNB LABOR,MASC914117,1-1M3JMIZ7,4/25/2014,17
SUBSIDY,MASC998397,1-1LXA4E4O,4/24/2014,0
New Install,MASC996962,1-1M1QJRAG,4/24/2014,60
SUBSIDY,MASC996962,1-1M1QJRAG,4/24/2014,0
SUBSIDY,MASC995196,1-1M1V1G18,4/24/2014,0
Upgrade,MASC995439,1-1M30SF3Q,4/24/2014,25
SUBSIDY,MASC995439,1-1M30SF3Q,4/24/2014,0
Service,MASC911659,1-1LSAX94H,4/24/2014,37
SUBSIDY,MASC911659,1-1LSAX94H,4/24/2014,0
New Install,MASC998231,1-1M1VHX1G,4/24/2014,60
SUBSIDY,MASC914117,1-1M3DYG00,4/24/2014,0
New Install,MASC998237,1-1M3QF8CA,4/24/2014,60
SUBSIDY,MASC998237,1-1M3QF8CA,4/24/2014,0
SUBSIDY,MASC995214,1-1M3ITLVE,4/24/2014,0
New Install,MASC995214,1-1M3ITLVE,4/24/2014,60
Former Install,MASC999035,1-1LYTM2YY,4/24/2014,60
SUBSIDY,MASC999035,1-1LYTM2YY,4/24/2014,0
New Install,MASC995144,1-1M3MTZ1T,4/24/2014,80
SUBSIDY,MASC995144,1-1M3MTZ1T,4/24/2014,0
New Install,MASC994575,1-1M3WK9WS,4/24/2014,60
Former Install,MASC998237,1-1M1CKHDP,4/24/2014,60
SUBSIDY,MASC998237,1-1M1CKHDP,4/24/2014,0
SUBSIDY,MASC994575,1-1M3WK9WS,4/24/2014,0
New Install,MASC995569,1-1LQORFQC,4/24/2014,60
SUBSIDY,MASC995569,1-1LQORFQC,4/24/2014,0
New Install,MASC995144,1-1M3N3XT7,4/24/2014,60
SUBSIDY,MASC998231,1-1M1VHX1G,4/24/2014,0
Former Install,MASC911659,1-1M3PXJ42,4/24/2014,60
SUBSIDY,MASC911659,1-1M3PXJ42,4/24/2014,0
Upgrade,MASC995064,1-1M3PYCVK,4/24/2014,25
SUBSIDY,MASC995064,1-1M3PYCVK,4/24/2014,0
Upgrade,MASC911659,1-1M3Q3VMS,4/24/2014,25
SUBSIDY,MASC911659,1-1M3Q3VMS,4/24/2014,0
Upgrade,MASC906491,1-1M40P2O6,4/24/2014,25
SUBSIDY,MASC906491,1-1M40P2O6,4/24/2014,0
Upgrade,MASC995214,1-1M4I4WWJ,4/24/2014,25
SUBSIDY,MASC995214,1-1M4I4WWJ,4/24/2014,0
Upgrade,MASC995064,1-1LZ8PJ3N,4/24/2014,25
SUBSIDY,MASC995064,1-1LZ8PJ3N,4/24/2014,0
Upgrade,MASC995214,1-1M3Q8MRA,4/24/2014,25
SUBSIDY,MASC995214,1-1M3Q8MRA,4/24/2014,0
New Install,MASC914117,1-1M3DYG00,4/24/2014,60
BS FILTER,MASC913802,1-1M20Q4TV,4/23/2014,0
IRD - STANDARD,MASC997093,1-1M2RT2B0,4/23/2014,19
KA/KU LNB SWM LABOR,MASC997093,1-1M2RT2B0,4/23/2014,8
MRV ENABLED,MASC997093,1-1M2RT2B0,4/23/2014,0
IRD - CLIENT,MASC995440,1-1M2Z8AYW,4/23/2014,15.25
IRD - CLIENT,MASC995440,1-1M2Z8AYW,4/23/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995440,1-1M2Z8AYW,4/23/2014,19
BROADBAND DECA-T1,MASC995440,1-1M2Z8AYW,4/23/2014,19
KA/KU LNB SWM 3,MASC995196,1-1M2S1X6F,4/23/2014,0
SWM ODU HARDWARE,MASC995196,1-1M2S1X6F,4/23/2014,0
KA/KU LNB SWM LABOR,MASC995196,1-1M2S1X6F,4/23/2014,8
IRD - KA/KU,MASC995196,1-1M2S1X6F,4/23/2014,19
IRD - KA/KU,MASC995196,1-1M2S1X6F,4/23/2014,19
KA/KU LNB SWM LABOR,MASC995569,1-1M2PF84T,4/23/2014,8
IRD - HD/DVR COMBO,MASC995569,1-1M2PF84T,4/23/2014,19
MRV ENABLED,MASC995569,1-1M2PF84T,4/23/2014,0
Swap Replace,MASC995569,1-1M1BHING,4/23/2014,5
IRD - CLIENT,MASC995569,1-1M1BHING,4/23/2014,15.25
Swap Replace,MASC995569,1-1M1BHING,4/23/2014,5
NON DIRECTV EQUIPMENT,MASC995569,1-1M1BHING,4/23/2014,22
BS FILTER,MASC913802,1-1M20Q4TV,4/23/2014,0
Swap Replace,MASC913802,1-1M20Q4TV,4/23/2014,5
KA/KU LNB SWM 3,MASC995569,1-1M2TIBEF,4/23/2014,0
SWM ODU HARDWARE,MASC995569,1-1M2TIBEF,4/23/2014,0
KA/KU LNB SWM LABOR,MASC995569,1-1M2TIBEF,4/23/2014,8
IRD - ADVANCED WHOLE-HOME DVR,MASC995569,1-1M2TIBEF,4/23/2014,19
ODU RELOCATE,MASC913802,1-1M1ACWHO,4/23/2014,18
IRD - STANDARD,MASC997093,1-1M2ST3J0,4/23/2014,19
IRD - STANDARD,MASC997093,1-1M2ST3J0,4/23/2014,19
"""ODU - 18""""""",MASC997093,1-1M2ST3J0,4/23/2014,0
KA/KU LNB SWM 3,MASC996962,1-1M2HD2FW,4/23/2014,0
SWM ODU HARDWARE,MASC996962,1-1M2HD2FW,4/23/2014,0
KA/KU LNB SWM LABOR,MASC996962,1-1M2HD2FW,4/23/2014,8
IRD - CLIENT,MASC996962,1-1M2HD2FW,4/23/2014,15.25
IRD - CLIENT,MASC996962,1-1M2HD2FW,4/23/2014,15.25
IRD - KA/KU,MASC995196,1-1M2S1X6F,4/23/2014,19
IRD - KA/KU,MASC995196,1-1M2S1X6F,4/23/2014,19
MRV ENABLED,MASC995196,1-1M2S1X6F,4/23/2014,0
ODU RELOCATE,MASC995440,1-1M2V7UIK,4/23/2014,18
"""ODU - 18""""""",MASC906491,1-1M2V6CEL,4/25/2014,0
MULTI-SWITCH 2X4,MASC906491,1-1M2V6CEL,4/25/2014,0
IRD - DVR,MASC906491,1-1M2V6CEL,4/25/2014,19
IRD - STANDARD,MASC906491,1-1M2V6CEL,4/25/2014,19
KA/KU LNB SWM 3,MASC999035,1-1LKPGUE1,4/25/2014,0
SWM ODU HARDWARE,MASC999035,1-1LKPGUE1,4/25/2014,0
KA/KU LNB SWM LABOR,MASC999035,1-1LKPGUE1,4/25/2014,8
IRD - HD/DVR COMBO,MASC999035,1-1LKPGUE1,4/25/2014,19
IRD - KA/KU,MASC999035,1-1LKPGUE1,4/25/2014,19
IRD - KA/KU,MASC999035,1-1LKPGUE1,4/25/2014,19
KA/KU LNB SWM 3,MASC914117,1-1M3JMIZ7,4/25/2014,0
BS FILTER,MASC914117,1-1M3JMIZ7,4/25/2014,0
BS FILTER,MASC914117,1-1M3JMIZ7,4/25/2014,0
BS FILTER,MASC914117,1-1M3JMIZ7,4/25/2014,0
MRV ENABLED,MASC914117,1-1M3JMIZ7,4/25/2014,0
BS FILTER,MASC911659,1-1M18XSUI,4/25/2014,0
KA/KU LNB SWM 3,MASC911659,1-1M18XSUI,4/25/2014,0
SWM ODU HARDWARE,MASC911659,1-1M18XSUI,4/25/2014,0
KA/KU LNB SWM LABOR,MASC911659,1-1M18XSUI,4/25/2014,8
IRD - CLIENT,MASC911659,1-1M18XSUI,4/25/2014,15.25
IRD - CLIENT,MASC911659,1-1M18XSUI,4/25/2014,15.25
IRD - CLIENT,MASC911659,1-1M18XSUI,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC911659,1-1M18XSUI,4/25/2014,19
IRD - STANDARD,MASC911659,1-1M18XSUI,4/25/2014,19
MULTI-SWITCH SWM 16,MASC999035,1-1LKPGUE1,4/25/2014,0
MRV ENABLED,MASC999035,1-1LKPGUE1,4/25/2014,0
RECEIVER DECA,MASC994575,1-1M3Y6JIF,4/25/2014,0
System Swap,MASC994575,1-1M3Y6JIF,4/25/2014,5
KA/KU LNB SWM 3,MASC994575,1-1M3Y6JIF,4/25/2014,0
ODU UPGRADE,MASC994575,1-1M3Y6JIF,4/25/2014,22
NON DIRECTV EQUIPMENT,MASC994575,1-1M3Y6JIF,4/25/2014,22
KA/KU LNB LABOR,MASC911659,1-1M18XSUI,4/25/2014,17
KA/KU LNB SWM 3,MASC911659,1-1LWB8QPT,4/25/2014,0
SWM ODU HARDWARE,MASC911659,1-1LWB8QPT,4/25/2014,0
KA/KU LNB SWM LABOR,MASC911659,1-1LWB8QPT,4/25/2014,8
IRD - CLIENT,MASC911659,1-1LWB8QPT,4/25/2014,15.25
IRD - CLIENT,MASC911659,1-1LWB8QPT,4/25/2014,15.25
IRD - CLIENT,MASC995439,1-1LVOR358,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995439,1-1LVOR358,4/25/2014,19
KA/KU LNB SWM 3,MASC995439,1-1LVOR358,4/25/2014,0
"""ODU - 18""""""",MASC995214,1-1LVWLMRG,4/25/2014,0
IRD - STANDARD,MASC995214,1-1LVWLMRG,4/25/2014,19
MRV ENABLED,MASC994575,1-1M3Y6JIF,4/25/2014,0
IRD - CLIENT,MASC911659,1-1LWB8QPT,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC911659,1-1LWB8QPT,4/25/2014,19
SWM ODU HARDWARE,MASC995439,1-1LVOR358,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995439,1-1LVOR358,4/25/2014,8
KA/KU LNB SWM 3,MASC998231,1-1M4UISCL,4/25/2014,0
SWM ODU HARDWARE,MASC998231,1-1M4UISCL,4/25/2014,0
KA/KU LNB SWM LABOR,MASC998231,1-1M4UISCL,4/25/2014,8
IRD - CLIENT,MASC998231,1-1M4UISCL,4/25/2014,15.25
IRD - STANDARD,MASC995214,1-1LVWLMRG,4/25/2014,19
IRD - CLIENT,MASC998231,1-1M4UISCL,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC998231,1-1M4UISCL,4/25/2014,19
INTERNAL DECA-T1,MASC998231,1-1M4UISCL,4/25/2014,4
IRD - KA/KU,MASC995214,1-1M3XEKZQ,4/25/2014,19
IRD - KA/KU,MASC995214,1-1M3XEKZQ,4/25/2014,19
ODU RELOCATE,MASC998237,1-1M4IB92E,4/25/2014,18
ODU RELOCATE,MASC998231,1-1M4VVYGY,4/25/2014,18
IRD - CLIENT,MASC995569,1-1M53659D,4/25/2014,15.25
IRD - CLIENT,MASC995569,1-1M53659D,4/25/2014,15.25
ODU RELOCATE,MASC995569,1-1M53659D,4/25/2014,18
KA/KU LNB SWM 3,MASC995214,1-1M3XEKZQ,4/25/2014,0
SWM ODU HARDWARE,MASC995214,1-1M3XEKZQ,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995214,1-1M3XEKZQ,4/25/2014,8
IRD - KA/KU,MASC995214,1-1M3XEKZQ,4/25/2014,19
IRD - HD/DVR COMBO,MASC995214,1-1M3XEKZQ,4/25/2014,19
MRV ENABLED,MASC995214,1-1M3XEKZQ,4/25/2014,0
"""ODU - 18""""""",MASC994575,1-1M1G1UDM,4/25/2014,0
IRD - KA/KU,MASC995569,1-1M1L87LR,4/25/2014,19
KA/KU LNB SWM 3,MASC995569,1-1M1L87LR,4/25/2014,0
SWM ODU HARDWARE,MASC995569,1-1M1L87LR,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995569,1-1M1L87LR,4/25/2014,8
IRD - KA/KU,MASC995569,1-1M1L87LR,4/25/2014,19
IRD - HD/DVR COMBO,MASC995569,1-1M1L87LR,4/25/2014,19
RECEIVER DECA,MASC995569,1-1M1L87LR,4/25/2014,0
MRV ENABLED,MASC995569,1-1M1L87LR,4/25/2014,0
KA/KU LNB SWM 3,MASC997565,1-1LF9DHWO,4/25/2014,0
IRD - CLIENT,MASC997565,1-1LF9DHWO,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC997565,1-1LF9DHWO,4/25/2014,19
SWM ODU HARDWARE,MASC997565,1-1LF9DHWO,4/25/2014,0
KA/KU LNB SWM LABOR,MASC997565,1-1LF9DHWO,4/25/2014,8
KA/KU LNB SWM 3,MASC995569,1-1M4VT5QN,4/25/2014,0
IRD - KA/KU,MASC995569,1-1M4VT5QN,4/25/2014,19
IRD - KA/KU,MASC995569,1-1M4VT5QN,4/25/2014,19
SWM ODU HARDWARE,MASC995569,1-1M4VT5QN,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995569,1-1M4VT5QN,4/25/2014,8
MRV ENABLED,MASC995569,1-1M4VT5QN,4/25/2014,0
IRD - STANDARD,MASC994575,1-1M1G1UDM,4/25/2014,19
MULTI-SWITCH 2X4,MASC994575,1-1M1G1UDM,4/25/2014,0
IRD - DVR,MASC994575,1-1M1G1UDM,4/25/2014,19
KA/KU LNB 3,MASC998237,1-1M06XHT8,4/25/2014,0
ODU UPGRADE,MASC998237,1-1M06XHT8,4/25/2014,22
Swap Relocate,MASC998237,1-1M06XHT8,4/25/2014,5
ODU HARDWARE,MASC998237,1-1M06XHT8,4/25/2014,0
KA/KU LNB LABOR,MASC998237,1-1M06XHT8,4/25/2014,17
IRD - STANDARD,MASC998237,1-1M06XHT8,4/25/2014,19
KA/KU LNB SWM 3,MASC998237,1-1M06XHT8,4/25/2014,0
MRV ENABLED,MASC998237,1-1M06XHT8,4/25/2014,0
KA/KU LNB SWM 3,MASC995440,1-1M51TQJ4,4/25/2014,0
MRV ENABLED,MASC911659,1-1M502QEJ,4/25/2014,0
System Swap,MASC998231,1-1M3X3DZR,4/25/2014,5
MULTI-SWITCH 2X4,MASC998231,1-1M3X3DZR,4/25/2014,0
ODU UPGRADE,MASC998231,1-1M3X3DZR,4/25/2014,22
IRD - CLIENT,MASC995440,1-1M51TQJ4,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995440,1-1M51TQJ4,4/25/2014,19
SWM ODU HARDWARE,MASC995440,1-1M51TQJ4,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995440,1-1M51TQJ4,4/25/2014,8
Swap Replace,MASC995440,1-1M4GSYSE,4/25/2014,5
MULTI-SWITCH SWM 8,MASC995440,1-1M4GSYSE,4/25/2014,0
Swap Replace,MASC995440,1-1M4GSYSE,4/25/2014,5
KA/KU LNB SWM 3,MASC906491,1-1M06HJL9,4/25/2014,0
SWM ODU HARDWARE,MASC906491,1-1M06HJL9,4/25/2014,0
KA/KU LNB SWM LABOR,MASC906491,1-1M06HJL9,4/25/2014,8
IRD - CLIENT,MASC906491,1-1M06HJL9,4/25/2014,15.25
IRD - CLIENT,MASC906491,1-1M06HJL9,4/25/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC906491,1-1M06HJL9,4/25/2014,19
MRV ENABLED,MASC906491,1-1M06HJL9,4/25/2014,0
RECEIVER DECA,MASC906491,1-1M4NOTMX,4/25/2014,0
System Swap,MASC906491,1-1M4NOTMX,4/25/2014,5
KA/KU LNB SWM 3,MASC906491,1-1M4NOTMX,4/25/2014,0
ODU UPGRADE,MASC906491,1-1M4NOTMX,4/25/2014,22
Swap Replace,MASC995440,1-1M4GSYSE,4/25/2014,5
KA/KU LNB SWM 3,MASC995440,1-1M4GSYSE,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995440,1-1M4GSYSE,4/25/2014,8
ODU RELOCATE,MASC906491,1-1M4NOTMX,4/25/2014,18
MRV ENABLED,MASC906491,1-1M4NOTMX,4/25/2014,0
KA/KU LNB SWM LABOR,MASC995144,1-1M3MTZ1T,4/24/2014,8
IRD - KA/KU,MASC995144,1-1M3MTZ1T,4/24/2014,19
KA/KU LNB SWM 3,MASC995144,1-1M3MTZ1T,4/24/2014,0
KA/KU LNB SWM 3,MASC998237,1-1M1CKHDP,4/24/2014,0
SWM ODU HARDWARE,MASC998237,1-1M1CKHDP,4/24/2014,0
KA/KU LNB SWM LABOR,MASC998237,1-1M1CKHDP,4/24/2014,8
KA/KU LNB SWM LABOR,MASC906491,1-1M40P2O6,4/24/2014,8
SWM ODU HARDWARE,MASC906491,1-1M40P2O6,4/24/2014,0
KA/KU LNB SWM 3,MASC995144,1-1M3N3XT7,4/24/2014,0
SWM ODU HARDWARE,MASC995144,1-1M3N3XT7,4/24/2014,0
KA/KU LNB SWM LABOR,MASC995144,1-1M3N3XT7,4/24/2014,8
IRD - CLIENT,MASC995144,1-1M3N3XT7,4/24/2014,15.25
IRD - CLIENT,MASC995144,1-1M3N3XT7,4/24/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC995144,1-1M3N3XT7,4/24/2014,19
IRD - ADVANCED WHOLE-HOME DVR,MASC998237,1-1M1CKHDP,4/24/2014,19
KA/KU LNB SWM 3,MASC996962,1-1M2FE6A3,4/24/2014,0
SWM ODU HARDWARE,MASC996962,1-1M2FE6A3,4/24/2014,0
KA/KU LNB SWM LABOR,MASC996962,1-1M2FE6A3,4/24/2014,8
IRD - CLIENT,MASC996962,1-1M2FE6A3,4/24/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC996962,1-1M2FE6A3,4/24/2014,19
IRD - KA/KU,MASC914117,1-1M3DYG00,4/24/2014,19
IRD - KA/KU,MASC914117,1-1M3DYG00,4/24/2014,19
KA/KU LNB SWM 3,MASC914117,1-1M3DYG00,4/24/2014,0
SWM ODU HARDWARE,MASC914117,1-1M3DYG00,4/24/2014,0
KA/KU LNB SWM LABOR,MASC914117,1-1M3DYG00,4/24/2014,8
IRD - HD/DVR COMBO,MASC914117,1-1M3DYG00,4/24/2014,19
IRD - KA/KU,MASC914117,1-1M3DYG00,4/24/2014,19
KA/KU LNB SWM 3,MASC998231,1-1M1VHX1G,4/24/2014,0
SWM ODU HARDWARE,MASC998231,1-1M1VHX1G,4/24/2014,0
KA/KU LNB SWM LABOR,MASC998231,1-1M1VHX1G,4/24/2014,8
IRD - CLIENT,MASC998231,1-1M1VHX1G,4/24/2014,15.25
IRD - ADVANCED WHOLE-HOME DVR,MASC998231,1-1M1VHX1G,4/24/2014,19
Swap Replace,MASC994575,1-1M33XCWA,4/24/2014,5
Swap Replace,MASC994575,1-1M33XCWA,4/24/2014,5
Swap Replace,MASC994575,1-1M33XCWA,4/24/2014,5
KA/KU LNB 3,MASC994575,1-1M33XCWA,4/24/2014,0
ODU UPGRADE,MASC994575,1-1M33XCWA,4/24/2014,22
MULTI-SWITCH SWM 8,MASC994575,1-1M33XCWA,4/24/2014,0
Swap Replace,MASC994575,1-1M33XCWA,4/24/2014,5
RECEIVER DECA,MASC914117,1-1M3DYG00,4/24/2014,0
MRV ENABLED,MASC914117,1-1M3DYG00,4/24/2014,0
New Install,MASC999035,1-1LKPGUE1,4/25/2014,60
SUBSIDY,MASC999035,1-1LKPGUE1,4/25/2014,0
SUBSIDY,MASC911659,1-1LWB8QPT,4/25/2014,0
Upgrade,MASC994575,1-1M3Y6JIF,4/25/2014,25
New Install,MASC995214,1-1M1Z21WC,4/25/2014,60
SUBSIDY,MASC995214,1-1M1Z21WC,4/25/2014,0
Upgrade,MASC914117,1-1M3JMIZ7,4/25/2014,25
SUBSIDY,MASC914117,1-1M3JMIZ7,4/25/2014,0
Upgrade,MASC914117,1-1M3OMDZA,4/25/2014,25
SUBSIDY,MASC914117,1-1M3OMDZA,4/25/2014,0
New Install,MASC910284,1-1M3WMQ06,4/25/2014,60
SUBSIDY,MASC910284,1-1M3WMQ06,4/25/2014,0
New Install,MASC995569,1-1M4VT5QN,4/25/2014,60
SUBSIDY,MASC995569,1-1M4VT5QN,4/25/2014,0
SUBSIDY,MASC998231,1-1M4VVYGY,4/25/2014,0
Upgrade,MASC998231,1-1M4VVYGY,4/25/2014,25
New Install,MASC997565,1-1LF9DHWO,4/25/2014,60
SUBSIDY,MASC997565,1-1LF9DHWO,4/25/2014,0
RECEIVER DECA,MASC906491,1-1LXPO7N0,4/19/2014,0
MRV ENABLED,MASC906491,1-1LXPO7N0,4/19/2014,0
Service,MASC998397,1-1JENKSBS,4/19/2014,-37
Service,MASC906491,1-1LYO4EEF,4/19/2014,37
SUBSIDY,MASC906491,1-1LYO4EEF,4/19/2014,0
New Install,MASC998231,1-1LYSCHMN,4/19/2014,60
SUBSIDY,MASC998231,1-1LYSCHMN,4/19/2014,0
Upgrade,MASC906491,1-1LZF0P18,4/19/2014,25
SUBSIDY,MASC906491,1-1LZF0P18,4/19/2014,0
Former Install,MASC997093,1-1LOKRBS3,4/19/2014,60
SUBSIDY,MASC997093,1-1LOKRBS3,4/19/2014,0
Former Install,MASC995569,1-1LW3CP5P,4/19/2014,60
SUBSIDY,MASC995569,1-1LW3CP5P,4/19/2014,0
Former Install,MASC998231,1-1LWT7WBF,4/19/2014,60
SUBSIDY,MASC998231,1-1LWT7WBF,4/19/2014,0
New Install,MASC995064,1-1LX8QTKX,4/19/2014,60
SUBSIDY,MASC995064,1-1LX8QTKX,4/19/2014,0
Upgrade,MASC907665,1-1LYFPKYR,4/19/2014,25
SUBSIDY,MASC907665,1-1LYFPKYR,4/19/2014,0
New Install,MASC995214,1-1LS57H7H,4/19/2014,60
SUBSIDY,MASC995214,1-1LS57H7H,4/19/2014,0
Service,MASC994564,1-1L6F793H,4/19/2014,-37
Upgrade,MASC906491,1-1LZFBL3H,4/19/2014,25
SUBSIDY,MASC906491,1-1LZFBL3H,4/19/2014,0
New Install,MASC907665,1-1LZICORA,4/19/2014,60
Upgrade,MASC997565,1-1LYPZWSE,4/19/2014,25
SUBSIDY,MASC997565,1-1LYPZWSE,4/19/2014,0
Upgrade,MASC995214,1-1LZC85EC,4/19/2014,25
SUBSIDY,MASC995214,1-1LZC85EC,4/19/2014,0
SUBSIDY,MASC907665,1-1LZICORA,4/19/2014,0
Former Install,MASC995440,1-1LZIRMTG,4/19/2014,60
SUBSIDY,MASC995440,1-1LZIRMTG,4/19/2014,0
New Install,MASC995440,1-1LYYZ19P,4/19/2014,60
SUBSIDY,MASC995440,1-1LYYZ19P,4/19/2014,0
Former Install,MASC996962,1-1LYT9U5I,4/19/2014,60
SUBSIDY,MASC996962,1-1LYT9U5I,4/19/2014,0
Upgrade,MASC914117,1-1LZ4NIBX,4/19/2014,25
SUBSIDY,MASC914117,1-1LZ4NIBX,4/19/2014,0
Former Install,MASC996962,1-1LJ6EBS2,4/19/2014,60
SUBSIDY,MASC996962,1-1LJ6EBS2,4/19/2014,0
New Install,MASC995144,1-1LVWKKUL,4/19/2014,60
SUBSIDY,MASC995144,1-1LVWKKUL,4/19/2014,0
New Install,MASC995569,1-1LYQNIRU,4/19/2014,60
SUBSIDY,MASC995569,1-1LYQNIRU,4/19/2014,0
New Install,MASC995440,1-1LYB4FL8,4/19/2014,60
SUBSIDY,MASC995440,1-1LYB4FL8,4/19/2014,0
Upgrade,MASC995064,1-1LZLTVTX,4/19/2014,25
SUBSIDY,MASC995064,1-1LZLTVTX,4/19/2014,0
SUBSIDY,MASC998231,1-1LYBB816,4/19/2014,0
New Install,MASC913802,1-1LYKB2KS,4/19/2014,60
SUBSIDY,MASC997093,1-1LZ015ET,4/19/2014,0
Former Install,MASC998397,1-1LDUKNCH,4/19/2014,60
SUBSIDY,MASC998397,1-1LDUKNCH,4/19/2014,0
SUBSIDY,MASC995569,1-1LU8KKD2,4/19/2014,0
Upgrade,MASC995144,1-1LYUSCDY,4/19/2014,25
SUBSIDY,MASC995144,1-1LYUSCDY,4/19/2014,0
RECEIVER DECA,MASC995144,1-1M08EXLQ,4/21/2014,0
